"","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths","Date_reported_X5.14.2020.12.00.00.AM","Date_reported_missing","Country_code_CN","Country_code_missing","Country_China","Country_missing","WHO_region_AFRO","WHO_region_AMRO","WHO_region_EMRO","WHO_region_SEARO","WHO_region_WPRO","WHO_region_other","WHO_region_missing"
"1",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"4",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"6",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"7",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"10",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"11",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"12",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"13",3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"14",0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"15",0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"16",0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"17",3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"18",0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"19",0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"20",3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"21",6,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"22",5,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"23",1,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"24",0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"25",0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"26",2,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"27",0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"28",10,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"29",6,40,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"30",2,42,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"31",32,74,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"32",6,80,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"33",11,91,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"34",15,106,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"35",8,114,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"36",0,114,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"37",52,166,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"38",26,192,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"39",43,235,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0
"40",34,269,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0
"41",1,270,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
"42",29,299,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"43",38,337,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0
"44",30,367,4,11,0,0,0,0,0,0,0,0,1,0,0,0,0
"45",56,423,3,14,0,0,0,0,0,0,0,0,1,0,0,0,0
"46",61,484,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0
"47",37,521,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0
"48",0,521,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0
"49",34,555,3,18,0,0,0,0,0,0,0,0,1,0,0,0,0
"50",110,665,3,21,0,0,0,0,0,0,0,0,1,0,0,0,0
"51",49,714,2,23,0,0,0,0,0,0,0,0,1,0,0,0,0
"52",70,784,2,25,0,0,0,0,0,0,0,0,1,0,0,0,0
"53",10,794,4,29,0,0,0,0,0,0,0,0,1,0,0,0,0
"54",51,845,1,30,0,0,0,0,0,0,0,0,1,0,0,0,0
"55",63,908,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0
"56",88,996,3,33,0,0,0,0,0,0,0,0,1,0,0,0,0
"57",0,996,0,33,0,0,0,0,0,0,0,0,1,0,0,0,0
"58",96,1092,3,36,0,0,0,0,0,0,0,0,1,0,0,0,0
"59",84,1176,4,40,0,0,0,0,0,0,0,0,1,0,0,0,0
"60",0,1176,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0
"61",50,1226,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0
"62",237,1463,7,47,0,0,0,0,0,0,0,0,1,0,0,0,0
"63",0,1463,2,49,0,0,0,0,0,0,0,0,1,0,0,0,0
"64",240,1703,8,57,0,0,0,0,0,0,0,0,1,0,0,0,0
"65",124,1827,3,60,0,0,0,0,0,0,0,0,1,0,0,0,0
"66",0,1827,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0
"67",344,2171,4,64,0,0,0,0,0,0,0,0,1,0,0,0,0
"68",0,2171,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0
"69",298,2469,8,72,0,0,0,0,0,0,0,0,1,0,0,0,0
"70",0,2469,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0
"71",0,2469,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0
"72",755,3224,23,95,0,0,0,0,0,0,0,0,1,0,0,0,0
"73",168,3392,9,104,0,0,0,0,0,0,0,0,1,0,0,0,0
"74",171,3563,1,105,0,0,0,0,0,0,0,0,1,0,0,0,0
"75",0,3563,0,105,0,0,0,0,0,0,0,0,1,0,0,0,0
"76",478,4041,10,115,0,0,0,0,0,0,0,0,1,0,0,0,0
"77",361,4402,4,119,0,0,0,0,0,0,0,0,1,0,0,0,0
"78",262,4664,2,121,0,0,0,0,0,0,0,0,1,0,0,0,0
"79",303,4967,6,127,0,0,0,0,0,0,0,0,1,0,0,0,0
"80",259,5226,3,130,0,0,0,0,0,0,0,0,1,0,0,0,0
"81",113,5339,6,136,1,0,0,0,0,0,0,0,1,0,0,0,0
"82",714,6053,17,153,0,0,0,0,0,0,0,0,1,0,0,0,0
"83",349,6402,15,168,0,0,0,0,0,0,0,0,1,0,0,0,0
"84",262,6664,1,169,0,0,0,0,0,0,0,0,1,0,0,0,0
"85",408,7072,4,173,0,0,0,0,0,0,0,0,1,0,0,0,0
"86",583,7655,4,177,0,0,0,0,0,0,0,0,1,0,0,0,0
"87",490,8145,10,187,0,0,0,0,0,0,0,0,1,0,0,0,0
"88",531,8676,6,193,0,0,0,0,0,0,0,0,1,0,0,0,0
"89",540,9216,12,205,0,0,0,0,0,0,0,0,1,0,0,0,0
"90",650,9866,6,211,0,0,0,0,0,0,0,0,1,0,0,0,0
"91",716,10582,7,218,0,0,0,0,0,0,0,0,1,0,0,0,0
"92",512,11094,1,219,0,0,0,0,0,0,0,0,1,0,0,0,0
"93",737,11831,1,220,0,0,0,0,0,0,0,0,1,0,0,0,0
"94",548,12379,6,226,0,0,0,0,0,0,0,0,1,0,0,0,0
"95",637,13016,9,235,0,0,0,0,0,0,0,0,1,0,0,0,0
"96",643,13659,11,246,0,0,0,0,0,0,0,0,1,0,0,0,0
"97",784,14443,2,248,0,0,0,0,0,0,0,0,1,0,0,0,0
"98",651,15094,2,250,0,0,0,0,0,0,0,0,1,0,0,0,0
"99",656,15750,15,265,0,0,0,0,0,0,0,0,1,0,0,0,0
"100",742,16492,5,270,0,0,0,0,0,0,0,0,1,0,0,0,0
"101",775,17267,24,294,0,0,0,0,0,0,0,0,1,0,0,0,0
"102",624,17891,5,299,0,0,0,0,0,0,0,0,1,0,0,0,0
"103",1078,18969,10,309,0,0,0,0,0,0,0,0,1,0,0,0,0
"104",582,19551,18,327,0,0,0,0,0,0,0,0,1,0,0,0,0
"105",791,20342,30,357,0,0,0,0,0,0,0,0,1,0,0,0,0
"106",575,20917,12,369,0,0,0,0,0,0,0,0,1,0,0,0,0
"107",305,21222,7,376,0,0,0,0,0,0,0,0,1,0,0,0,0
"108",920,22142,29,405,0,0,0,0,0,0,0,0,1,0,0,0,0
"109",748,22890,21,426,0,0,0,0,0,0,0,0,1,0,0,0,0
"110",656,23546,20,446,0,0,0,0,0,0,0,0,1,0,0,0,0
"111",556,24102,5,451,0,0,0,0,0,0,0,0,1,0,0,0,0
"112",664,24766,20,471,0,0,0,0,0,0,0,0,1,0,0,0,0
"113",761,25527,5,476,0,0,0,0,0,0,0,0,1,0,0,0,0
"114",106,25633,8,484,0,0,0,0,0,0,0,0,1,0,0,0,0
"115",1241,26874,20,504,0,0,0,0,0,0,0,0,1,0,0,0,0
"116",463,27337,42,546,0,0,0,0,0,0,0,0,1,0,0,0,0
"117",541,27878,2,548,0,0,0,0,0,0,0,0,1,0,0,0,0
"118",419,28297,0,548,0,0,0,0,0,0,0,0,1,0,0,0,0
"119",536,28833,33,581,0,0,0,0,0,0,0,0,1,0,0,0,0
"120",310,29143,17,598,0,0,0,0,0,0,0,0,1,0,0,0,0
"121",338,29481,20,618,0,0,0,0,0,0,0,0,1,0,0,0,0
"122",159,29640,21,639,0,0,0,0,0,0,0,0,1,0,0,0,0
"123",535,30175,36,675,0,0,0,0,0,0,0,0,1,0,0,0,0
"124",85,30260,5,680,0,0,0,0,0,0,0,0,1,0,0,0,0
"125",356,30616,23,703,0,0,0,0,0,0,0,0,1,0,0,0,0
"126",351,30967,26,729,0,0,0,0,0,0,0,0,1,0,0,0,0
"127",271,31238,4,733,0,0,0,0,0,0,0,0,1,0,0,0,0
"128",0,31238,0,733,0,0,0,0,0,0,0,0,1,0,0,0,0
"129",524,31762,41,774,0,0,0,0,0,0,0,0,1,0,0,0,0
"130",260,32022,33,807,0,0,0,0,0,0,0,0,1,0,0,0,0
"131",302,32324,12,819,0,0,0,0,0,0,0,0,1,0,0,0,0
"132",348,32672,7,826,0,0,0,0,0,0,0,0,1,0,0,0,0
"133",279,32951,38,864,0,0,0,0,0,0,0,0,1,0,0,0,0
"134",113,33064,23,887,0,0,0,0,0,0,0,0,1,0,0,0,0
"135",320,33384,33,920,0,0,0,0,0,0,0,0,1,0,0,0,0
"136",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",10,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",5,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",4,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",9,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",4,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",4,59,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",11,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",0,70,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",6,76,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",0,76,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",13,89,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",34,123,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"152",23,146,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"153",28,174,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"154",12,186,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"155",11,197,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"156",15,212,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"157",11,223,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"158",0,223,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"159",20,243,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",34,277,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",0,277,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",56,333,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",0,333,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",44,377,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",0,377,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",23,400,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"167",9,409,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
"168",7,416,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"169",0,416,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",30,446,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"171",0,446,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"172",29,475,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",0,475,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"174",19,494,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"175",24,518,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",30,548,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",0,548,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",14,562,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"179",47,609,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",25,634,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"181",0,634,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"182",44,678,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"183",0,678,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"184",34,712,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",14,726,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"186",10,736,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",30,766,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0
"188",7,773,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,773,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",16,789,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"191",6,795,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"192",8,803,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",17,820,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",12,832,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"195",0,832,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"196",18,850,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"197",6,856,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"198",12,868,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"199",0,868,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",4,872,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"201",4,876,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"202",4,880,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0
"203",18,898,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"204",35,933,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"205",13,946,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"206",2,948,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"207",0,948,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"208",16,964,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"209",5,969,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",0,969,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"211",12,981,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
"212",8,989,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"213",15,1004,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
"214",25,1029,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"215",21,1050,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"216",26,1076,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"217",23,1099,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"218",23,1122,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",14,1136,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"220",7,1143,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"221",21,1164,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"222",12,1176,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"223",21,1197,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"224",15,1212,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
"225",20,1232,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"226",14,1246,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"227",17,1263,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"228",36,1299,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"229",42,1341,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"230",44,1385,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"231",31,1416,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"232",48,1464,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",57,1521,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",69,1590,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",82,1672,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",50,1722,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",66,1788,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",50,1838,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",0,1838,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",53,1891,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",104,1995,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",52,2047,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",67,2114,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",78,2192,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"245",77,2269,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",61,2330,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",72,2402,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",64,2466,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"249",69,2535,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0
"250",45,2580,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0
"251",82,2662,4,69,0,0,0,0,0,0,0,0,0,0,0,0,0
"252",90,2752,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0
"253",67,2819,2,74,0,0,0,0,0,0,0,0,0,0,0,0,0
"254",74,2893,2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"255",71,2964,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0
"256",74,3038,2,81,0,0,0,0,0,0,0,0,0,0,0,0,0
"257",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"258",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"259",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"260",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"261",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"262",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"263",2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"264",2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"265",7,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"266",0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"267",5,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"268",0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"269",0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"270",3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"271",0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"272",0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"273",5,25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"274",0,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"275",12,37,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"276",12,49,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"277",0,49,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0
"278",11,60,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
"279",12,72,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0
"280",10,82,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0
"281",12,94,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0
"282",0,94,5,15,0,0,0,0,0,0,1,0,0,0,0,0,0
"283",45,139,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0
"284",62,201,2,17,0,0,0,0,0,0,1,0,0,0,0,0,0
"285",30,231,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0
"286",33,264,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0
"287",0,264,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0
"288",41,305,4,21,0,0,0,0,0,0,1,0,0,0,0,0,0
"289",62,367,4,25,0,0,0,0,0,0,1,0,0,0,0,0,0
"290",42,409,1,26,0,0,0,0,0,0,1,0,0,0,0,0,0
"291",45,454,3,29,0,0,0,0,0,0,1,0,0,0,0,0,0
"292",57,511,2,31,0,0,0,0,0,0,1,0,0,0,0,0,0
"293",73,584,4,35,0,0,0,0,0,0,1,0,0,0,0,0,0
"294",263,847,23,58,0,0,0,0,0,0,1,0,0,0,0,0,0
"295",139,986,25,83,0,0,0,0,0,0,1,0,0,0,0,0,0
"296",185,1171,22,105,0,0,0,0,0,0,1,0,0,0,0,0,0
"297",80,1251,25,130,0,0,0,0,0,0,1,0,0,0,0,0,0
"298",0,1251,0,130,0,0,0,0,0,0,1,0,0,0,0,0,0
"299",172,1423,43,173,0,0,0,0,0,0,1,0,0,0,0,0,0
"300",45,1468,21,194,0,0,0,0,0,0,1,0,0,0,0,0,0
"301",104,1572,11,205,0,0,0,0,0,0,1,0,0,0,0,0,0
"302",94,1666,30,235,0,0,0,0,0,0,1,0,0,0,0,0,0
"303",95,1761,21,256,0,0,0,0,0,0,1,0,0,0,0,0,0
"304",64,1825,19,275,0,0,0,0,0,0,1,0,0,0,0,0,0
"305",89,1914,18,293,0,0,0,0,0,0,1,0,0,0,0,0,0
"306",69,1983,20,313,0,0,0,0,0,0,1,0,0,0,0,0,0
"307",87,2070,13,326,0,0,0,0,0,0,1,0,0,0,0,0,0
"308",90,2160,10,336,0,0,0,0,0,0,1,0,0,0,0,0,0
"309",108,2268,12,348,0,0,0,0,0,0,1,0,0,0,0,0,0
"310",150,2418,16,364,0,0,0,0,0,0,1,0,0,0,0,0,0
"311",116,2534,3,367,0,0,0,0,0,0,1,0,0,0,0,0,0
"312",95,2629,8,375,0,0,0,0,0,0,1,0,0,0,0,0,0
"313",89,2718,9,384,0,0,0,0,0,0,1,0,0,0,0,0,0
"314",93,2811,8,392,0,0,0,0,0,0,1,0,0,0,0,0,0
"315",99,2910,10,402,0,0,0,0,0,0,1,0,0,0,0,0,0
"316",97,3007,5,407,0,0,0,0,0,0,1,0,0,0,0,0,0
"317",120,3127,8,415,0,0,0,0,0,0,1,0,0,0,0,0,0
"318",129,3256,4,419,0,0,0,0,0,0,1,0,0,0,0,0,0
"319",126,3382,6,425,0,0,0,0,0,0,1,0,0,0,0,0,0
"320",135,3517,7,432,0,0,0,0,0,0,1,0,0,0,0,0,0
"321",132,3649,5,437,0,0,0,0,0,0,1,0,0,0,0,0,0
"322",199,3848,7,444,0,0,0,0,0,0,1,0,0,0,0,0,0
"323",158,4006,6,450,0,0,0,0,0,0,1,0,0,0,0,0,0
"324",148,4154,3,453,0,0,0,0,0,0,1,0,0,0,0,0,0
"325",141,4295,6,459,0,0,0,0,0,0,1,0,0,0,0,0,0
"326",179,4474,4,463,0,0,0,0,0,0,1,0,0,0,0,0,0
"327",174,4648,2,465,0,0,0,0,0,0,1,0,0,0,0,0,0
"328",190,4838,5,470,0,0,0,0,0,0,1,0,0,0,0,0,0
"329",159,4997,6,476,0,0,0,0,0,0,1,0,0,0,0,0,0
"330",185,5182,7,483,0,0,0,0,0,0,1,0,0,0,0,0,0
"331",187,5369,5,488,0,0,0,0,0,0,1,0,0,0,0,0,0
"332",189,5558,6,494,0,0,0,0,0,0,1,0,0,0,0,0,0
"333",165,5723,8,502,0,0,0,0,0,0,1,0,0,0,0,0,0
"334",168,5891,5,507,0,0,0,0,0,0,1,0,0,0,0,0,0
"335",176,6067,8,515,0,0,0,0,0,0,1,0,0,0,0,0,0
"336",186,6253,7,522,1,0,0,0,0,0,1,0,0,0,0,0,0
"337",189,6442,7,529,0,0,0,0,0,0,1,0,0,0,0,0,0
"338",188,6630,7,536,0,0,0,0,0,0,1,0,0,0,0,0,0
"339",191,6821,6,542,0,0,0,0,0,0,1,0,0,0,0,0,0
"340",198,7019,6,548,0,0,0,0,0,0,1,0,0,0,0,0,0
"341",182,7201,7,555,0,0,0,0,0,0,1,0,0,0,0,0,0
"342",176,7377,6,561,0,0,0,0,0,0,1,0,0,0,0,0,0
"343",165,7542,7,568,0,0,0,0,0,0,1,0,0,0,0,0,0
"344",186,7728,7,575,0,0,0,0,0,0,1,0,0,0,0,0,0
"345",190,7918,7,582,0,0,0,0,0,0,1,0,0,0,0,0,0
"346",195,8113,10,592,0,0,0,0,0,0,1,0,0,0,0,0,0
"347",193,8306,8,600,0,0,0,0,0,0,1,0,0,0,0,0,0
"348",197,8503,9,609,0,0,0,0,0,0,1,0,0,0,0,0,0
"349",194,8697,8,617,0,0,0,0,0,0,1,0,0,0,0,0,0
"350",160,8857,6,623,0,0,0,0,0,0,1,0,0,0,0,0,0
"351",140,8997,7,630,0,0,0,0,0,0,1,0,0,0,0,0,0
"352",137,9134,8,638,0,0,0,0,0,0,1,0,0,0,0,0,0
"353",133,9267,8,646,0,0,0,0,0,0,1,0,0,0,0,0,0
"354",127,9394,7,653,0,0,0,0,0,0,1,0,0,0,0,0,0
"355",119,9513,8,661,0,0,0,0,0,0,1,0,0,0,0,0,0
"356",113,9626,6,667,0,0,0,0,0,0,1,0,0,0,0,0,0
"357",107,9733,6,673,0,0,0,0,0,0,1,0,0,0,0,0,0
"358",98,9831,8,681,0,0,0,0,0,0,1,0,0,0,0,0,0
"359",104,9935,9,690,0,0,0,0,0,0,1,0,0,0,0,0,0
"360",115,10050,8,698,0,0,0,0,0,0,1,0,0,0,0,0,0
"361",104,10154,9,707,0,0,0,0,0,0,1,0,0,0,0,0,0
"362",111,10265,8,715,0,0,0,0,0,0,1,0,0,0,0,0,0
"363",117,10382,9,724,0,0,0,0,0,0,1,0,0,0,0,0,0
"364",102,10484,8,732,0,0,0,0,0,0,1,0,0,0,0,0,0
"365",105,10589,9,741,0,0,0,0,0,0,1,0,0,0,0,0,0
"366",109,10698,10,751,0,0,0,0,0,0,1,0,0,0,0,0,0
"367",112,10810,9,760,0,0,0,0,0,0,1,0,0,0,0,0,0
"368",109,10919,7,767,0,0,0,0,0,0,1,0,0,0,0,0,0
